ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
BIIB,Healthcare,26432815104,16.424793,10.815125,1.4517298,2.887,0.09307,0.057490002,0.1598,0.30718002,36.194,2.716,1.766,0.145,0.028,0.192,0.5632877604166667
BLK,Financial Services,161142833152,26.740988,21.153158,2.9019837,7.425,0.120740004,0.034140002,0.26638,0.3214,24.32,2.256,1.661,1.481,0.252,-0.226,-0.9359804424778762
BX,Financial Services,180058619904,42.166668,25.169813,13.68588,10.895,0.26457,0.121190004,0.2117,0.44629002,65.942,1.004,0.941,1.762,-0.196,-0.214,-1.1761594859813085
XYZ,Technology,36642095104,12.094568,18.30691,1.6271012,1.494,0.14692001,0.0226,0.13081001,0.06871,36.049,2.183,1.257,2.651,0.023,0.644,0.2842687888198757
BK,Financial Services,79043395584,16.17316,17.163858,2.0018575,-0.841,0.121520005,0.01194,0.26568002,0.37402,,,,1.123,0.1,0.253,0.6784133596837945
BA,Industrials,156108423168,,436.97873,-18.897682,2.347,,-0.035099998,-0.12197,-0.204,,1.182,0.335,1.17,0.304,,
BKNG,Consumer Cyclical,166427033600,33.44451,24.470192,-35.028717,6.405,,0.20249,0.19371,0.44904998,,1.334,1.262,1.251,0.127,0.135,1.812606814814815
BSX,Healthcare,146791399424,52.95187,35.49104,6.274236,8.155,0.12488,0.05756,0.1443,0.20731,50.973,1.508,0.77,0.674,0.203,0.6,0.5915173333333333
BMY,Healthcare,98225086464,16.24579,6.8634424,5.2952147,2.765,0.33777002,0.0939,0.12572,0.31566,274.414,1.266,1.106,0.309,0.028,0.809,0.08483859579728059
AVGO,Technology,1801912844288,98.08997,61.84279,6.443154,3.107,0.27083,0.08895001,0.31592,0.31765,166.032,1.497,1.279,1.21,0.164,1.881,0.328776129718235
BR,Technology,26568359936,29.068966,24.343315,10.080159,4.217,0.38215,0.09519,0.13112001,0.118719995,132.063,0.927,0.798,0.997,0.117,1.059,0.2298707743153919
BRO,Financial Services,27259035648,24.19394,19.52078,2.1722803,6.378,0.10695,0.03938,0.18691999,0.24129,64.746,1.182,0.472,0.816,0.342,-0.161,-1.2124708074534158
BF-B,Consumer Defensive,14145132544,16.698324,15.731579,3.5431483,4.144,0.22649,0.08595,0.21378,0.27165002,67.728,2.791,0.88,0.41,-0.028,-0.123,-1.278990162601626
BLDR,Industrials,12396083200,21.271347,9.622317,2.8712668,1.098,0.13555999,0.057589997,0.03795,0.05805,117.723,1.786,1.083,1.561,-0.069,-0.549,-0.17526989071038251
BG,Consumer Defensive,19215958016,10.816442,10.327957,1.1781663,0.577,0.09758,0.02592,0.02201,0.02194,102.816,1.66,0.476,0.78,0.716,-0.46,-0.2245208043478261
BXP,Real Estate,12692327424,,38.368984,2.2732313,8.868,-0.01883,0.02379,-0.058509998,0.28563,231.148,1.101,0.984,1.011,0.018,,
CHRW,Industrials,18858237952,32.37931,33.535713,10.179187,1.225,0.34318,0.095790006,0.03636,0.05578,80.904,1.585,1.516,0.909,-0.109,0.675,0.4968253777777778
CDNS,Technology,86635462656,81.9433,46.4146,16.646072,16.516,0.21736,0.11089,0.20354,0.35089,47.685,3.048,2.685,1.043,0.101,0.207,2.2422512077294687
CZR,Consumer Cyclical,4821243904,,17.298508,1.2564367,2.623,-0.04259,0.03948,-0.0212,0.17881,647.396,0.778,0.567,2.065,-0.002,,
CPT,Real Estate,11326389248,42.914978,65.4321,2.5335214,9.547,0.059310004,0.01989,0.1705,0.15994,81.136,0.052,0.038,0.832,0.021,,
CPB,Consumer Defensive,8906995712,14.870646,8.765395,2.2827249,1.559,0.15636,0.06123,0.058709998,0.13098,184.734,0.768,0.246,-0.055,0.012,,
COF,Financial Services,143251881984,76.975945,14.303959,1.3136213,5.033,0.01615,0.0024899999,0.04899,0.38719,,,,1.165,0.679,0.095,1.5056798947368422
CAH,Healthcare,48737869824,30.939669,23.741898,-16.957096,0.228,,0.03438,0.00681,0.01205,,0.957,0.456,0.644,0.224,0.106,2.2398016981132076
KMX,Consumer Cyclical,5809293312,11.351906,10.267904,0.9219301,0.866,0.084180005,0.01864,0.01843,0.021440001,311.84,2.461,0.317,1.287,-0.053,-0.248,-0.41402838709677414
CCL,Consumer Cyclical,35035992064,13.319588,15.023255,2.8423717,2.289,0.25733998,0.05284,0.10069,0.27867,233.568,0.338,0.241,2.527,0.033,0.06,2.5038758333333333
CARR,Industrials,45802049536,33.6375,17.703947,3.1305258,2.565,0.0998,0.03812,0.18052,0.09554,83.159,1.141,0.655,1.292,-0.068,0.005,35.407894
CAT,Industrials,272874897408,29.94704,26.296614,13.195069,4.755,0.46283,0.08201,0.14339,0.17746,201.046,1.384,0.784,1.562,0.095,-0.036,-7.304615000000001
CBOE,Financial Services,26616332288,27.320086,27.706972,5.448217,5.785,0.21621001,0.09729,0.21287,0.32846,32.645,1.718,0.903,0.357,0.081,0.377,0.7349329442970822
CBRE,Real Estate,47415492608,39.34074,26.555,5.4716854,1.411,0.14091,0.044299997,0.031229999,0.04923,104.121,1.127,0.883,1.342,0.135,0.658,0.4035714285714286
CDW,Technology,18893717504,18.225033,14.24506,7.3962345,1.104,0.43007,0.07037,0.04757,0.07774,239.737,1.39,1.244,1.055,0.04,-0.056,-2.543760714285714
COR,Healthcare,68027682816,44.05402,21.434597,45.09645,0.228,1.23751,0.03259,0.00484,0.0114400005,534.1,0.903,0.512,0.64,0.059,,
CNC,Healthcare,19075815424,,5.5127845,0.91043454,0.105,-0.2186,0.020079998,-0.03155,0.0054699997,83.51,1.084,1.04,0.487,0.215,,
CNP,Utilities,25037498368,24.27215,22.04023,2.2689621,5.124,0.09606,0.02901,0.11367,0.2495,202.111,0.513,0.336,0.562,0.071,0.506,0.43557766798418973
